"entrez","hgnc_id","hgnc_gene","hgnc_symbol","gene_type"
"105374366","53458","long intergenic non-protein coding RNA 2482","LINC02482","non-coding RNA"
"105374394","53459","long intergenic non-protein coding RNA 2484","LINC02484","non-coding RNA"
"105377439","53460","long intergenic non-protein coding RNA 2485","LINC02485","non-coding RNA"
"727993","53462","PDYN antisense RNA 1","PDYN-AS1","non-coding RNA"
"105370431","53463","G2E3 antisense RNA 1","G2E3-AS1","non-coding RNA"
"105369758","53464","DDN and PRKAG1 antisense RNA 1","DDN-AS1","non-coding RNA"
"101926941","53465","SPRY4 antisense RNA 1","SPRY4-AS1","non-coding RNA"
"441178","53466","long intergenic non-protein coding RNA 2487","LINC02487","non-coding RNA"
"105378217","53468","STK32A antisense RNA 1","STK32A-AS1","non-coding RNA"
"105375847","53469","competing endogenous lncRNA 3 for miR-645","CERNA3","non-coding RNA"
"101928919","53470","long intergenic non-protein coding RNA 2489","LINC02489","non-coding RNA"
"105370822","53471","long intergenic non-protein coding RNA 2490","LINC02490","non-coding RNA"
"105377467","53475","long intergenic non-protein coding RNA 2491","LINC02491","non-coding RNA"
"100506272","53476","long intergenic non-protein coding RNA 2492","LINC02492","non-coding RNA"
"101929123","53477","long intergenic non-protein coding RNA 2493","LINC02493","non-coding RNA"
"105377671","53479","long intergenic non-protein coding RNA 2494","LINC02494","non-coding RNA"
"105377248","53480","long intergenic non-protein coding RNA 2496","LINC02496","non-coding RNA"
"101927305","53481","small nucleolar RNA host gene 27","SNHG27","non-coding RNA"
"102723778","53482","long intergenic non-protein coding RNA 2497","LINC02497","non-coding RNA"
"102723525","53483","long intergenic non-protein coding RNA 2498","LINC02498","non-coding RNA"
"728040","53484","long intergenic non-protein coding RNA 2499","LINC02499","non-coding RNA"
"101928679","53488","long intergenic non-protein coding RNA 2500","LINC02500","non-coding RNA"
"105374565","53489","long intergenic non-protein coding RNA 2501","LINC02501","non-coding RNA"
"100996694","53491","long intergenic non-protein coding RNA 2502","LINC02502","non-coding RNA"
"105377349","53492","long intergenic non-protein coding RNA 2503","LINC02503","non-coding RNA"
"101928288","53493","long intergenic non-protein coding RNA 2504","LINC02504","non-coding RNA"
"105374400","53494","long intergenic non-protein coding RNA 2505","LINC02505","non-coding RNA"
"102723828","53495","long intergenic non-protein coding RNA 2506","LINC02506","non-coding RNA"
"105377477","53496","long intergenic non-protein coding RNA 2507","LINC02507","non-coding RNA"
"105377610","53497","long intergenic non-protein coding RNA 2508","LINC02508","non-coding RNA"
"105377556","53498","long intergenic non-protein coding RNA 2509","LINC02509","non-coding RNA"
"729307","53499","long intergenic non-protein coding RNA 2510","LINC02510","non-coding RNA"
"105377441","53500","long intergenic non-protein coding RNA 2511","LINC02511","non-coding RNA"
"107986241","53501","long intergenic non-protein coding RNA 2512","LINC02512","non-coding RNA"
"105374410","53502","long intergenic non-protein coding RNA 2513","LINC02513","non-coding RNA"
"105377602","53503","long intergenic non-protein coding RNA 2514","LINC02514","non-coding RNA"
"102723920","53504","long intergenic non-protein coding RNA 2515","LINC02515","non-coding RNA"
"101927087","53505","long intergenic non-protein coding RNA 2516","LINC02516","non-coding RNA"
"105374374","53506","long intergenic non-protein coding RNA 2517","LINC02517","non-coding RNA"
"105378049","53508","TAB2 antisense RNA 1","TAB2-AS1","non-coding RNA"
"105377957","53509","long intergenic non-protein coding RNA 2518","LINC02518","non-coding RNA"
"105378147","53510","long intergenic non-protein coding RNA 2519","LINC02519","non-coding RNA"
"100505530","53511","long intergenic non-protein coding RNA 2520","LINC02520","non-coding RNA"
"105375077","53512","RUNX2 antisense RNA 1","RUNX2-AS1","non-coding RNA"
"106631777","53514","RNA, 45S pre-ribosomal N1","RNA45SN1","non-coding RNA"
"106631781","53515","RNA, 18S ribosomal N1","RNA18SN1","non-coding RNA"
"106632264","53516","RNA, 28S ribosomal N1","RNA28SN1","non-coding RNA"
"106632260","53517","RNA, 5.8S ribosomal N1","RNA5-8SN1","non-coding RNA"
"109864279","53518","RNA, 45S pre-ribosomal N2","RNA45SN2","non-coding RNA"
"109864280","53519","RNA, 18S ribosomal N2","RNA18SN2","non-coding RNA"
"109864282","53520","RNA, 28S ribosomal N2","RNA28SN2","non-coding RNA"
"109864281","53521","RNA, 5.8S ribosomal N2","RNA5-8N2","non-coding RNA"
"109910379","53522","RNA, 45S pre-ribosomal N3","RNA45SN3","non-coding RNA"
"109910380","53523","RNA, 18S ribosomal N3","RNA18SN3","non-coding RNA"
"109910382","53524","RNA, 28S ribosomal N3","RNA28SN3","non-coding RNA"
"109910381","53525","RNA, 5.8S ribosomal N3","RNA5-8SN3","non-coding RNA"
"109864271","53526","RNA, 45S pre-ribosomal N4","RNA45SN4","non-coding RNA"
"109864272","53527","RNA, 28S ribosomal N4","RNA28SN4","non-coding RNA"
"109864273","53528","RNA, 18S pre-ribosomal N4","RNA18SN4","non-coding RNA"
"109864274","53529","RNA, 5.8S ribosomal N4","RNA5-8SN4","non-coding RNA"
"100861532","53530","RNA, 45S pre-ribosomal N5","RNA45SN5","non-coding RNA"
"100008588","53531","RNA, 18S ribosomal N5","RNA18SN5","non-coding RNA"
"100008589","53532","RNA, 28S ribosomal N5","RNA28SN5","non-coding RNA"
"100008587","53533","RNA, 5.8S ribosomal N5","RNA5-8SN5","non-coding RNA"
"109864277","53534","RNA, 18S ribosomal pseudogene 3","RNA18SP3","pseudogene"
"109864275","53535","RNA, 18S ribosomal pseudogene 4","RNA18SP4","pseudogene"
"109864278","53536","RNA, 5.8S ribosomal pseudogene 8","RNA5-8SP8","pseudogene"
"109864276","53537","RNA, 5.8S ribosomal pseudogene 9","RNA5-8SP9","pseudogene"
"105374956","53539","MIR548A1 host gene","MIR548A1HG","non-coding RNA"
"101928106","53541","long intergenic non-protein coding RNA 2522","LINC02522","non-coding RNA"
"643623","53542","long intergenic non-protein coding RNA 2523","LINC02523","non-coding RNA"
"100507194","53545","long intergenic non-protein coding RNA 2525","LINC02525","non-coding RNA"
"100130011","53546","synaptophysin like 1 pseudogene 1","SYPL1P1","pseudogene"
"100132972","53547","synaptophysin like 1 pseudogene 2","SYPL1P2","pseudogene"
"105377926","53550","long intergenic non-protein coding RNA 2526","LINC02526","non-coding RNA"
"105377946","53553","long intergenic non-protein coding RNA 2527","LINC02527","non-coding RNA"
"105378020","53554","long intergenic non-protein coding RNA 2528","LINC02528","non-coding RNA"
"102724053","53555","long intergenic non-protein coding RNA 2529","LINC02529","non-coding RNA"
"101928309","53556","long intergenic non-protein coding RNA 2530","LINC02530","non-coding RNA"
"107986533","53557","long intergenic non-protein coding RNA 2531","LINC02531","non-coding RNA"
"93463","-","-","-","non-coding RNA"
"26070","-","-","-","non-coding RNA"
"285150","-","-","-","non-coding RNA"
"541473","-","-","-","pseudogene"
"150776","-","-","-","pseudogene"
"102725072","-","-","-","pseudogene"
"124923","-","-","-","protein-coding gene"
"100505501","-","-","-","-"
"27065","-","-","-","protein-coding gene"
"139629","-","-","-","pseudogene"
"728554","-","-","-","pseudogene"
"51617","-","-","-","protein-coding gene"
"728673","-","-","-","non-coding RNA"
"93622","-","-","-","pseudogene"
"399923","-","-","-","non-coding RNA"
"285759","-","-","-","non-coding RNA"
"100128398","-","-","-","non-coding RNA"
"79857","-","-","-","non-coding RNA"
"144203","-","-","-","protein-coding gene"
"124871","-","-","-","non-coding RNA"
"100049716","-","-","-","non-coding RNA"
"102724659","-","-","-","non-coding RNA"
"648987","-","-","-","non-coding RNA"
"284241","-","-","-","non-coding RNA"
"100286922","-","-","-","pseudogene"
"100506127","-","-","-","protein-coding gene"
"541472","-","-","-","non-coding RNA"
"100130264","-","-","-","non-coding RNA"
"729614","-","-","-","non-coding RNA"
"284023","-","-","-","non-coding RNA"
"107985579","-","-","-","non-coding RNA"
"100996455","-","-","-","non-coding RNA"
"339059","-","-","-","non-coding RNA"
"102723701","-","-","-","non-coding RNA"
"150527","-","-","-","pseudogene"
"286023","-","-","-","non-coding RNA"
"100288570","-","-","-","pseudogene"
"100379224","-","-","-","non-coding RNA"
"440895","-","-","-","pseudogene"
"207147","-","-","-","pseudogene"
"151174","-","-","-","non-coding RNA"
"730098","-","-","-","protein-coding gene"
"25845","-","-","-","non-coding RNA"
"400499","-","-","-","protein-coding gene"
"494141","-","-","-","pseudogene"
"283970","-","-","-","pseudogene"
"401554","-","-","-","non-coding RNA"
"158960","-","-","-","non-coding RNA"
"100129940","-","-","-","protein-coding gene"
"101928372","-","-","-","non-coding RNA"
"101929106","-","-","-","non-coding RNA"
"100128531","-","-","-","non-coding RNA"
"101927447","-","-","-","non-coding RNA"
"101928673","-","-","-","non-coding RNA"
"100130587","-","-","-","non-coding RNA"
"100133077","-","-","-","non-coding RNA"
"100287792","-","-","-","non-coding RNA"
"100128239","-","-","-","non-coding RNA"
"149950","-","-","-","non-coding RNA"
"400710","-","-","-","non-coding RNA"
"284788","-","-","-","non-coding RNA"
"100268168","-","-","-","non-coding RNA"
"400706","-","-","-","non-coding RNA"
"101927533","-","-","-","non-coding RNA"
"440040","-","-","-","pseudogene"
"400553","-","-","-","non-coding RNA"
"374387","-","-","-","non-coding RNA"
"100129027","-","-","-","non-coding RNA"
"100133091","-","-","-","non-coding RNA"
"344967","-","-","-","pseudogene"
"100128770","-","-","-","non-coding RNA"
"100996335","-","-","-","non-coding RNA"
"339803","-","-","-","non-coding RNA"
"729603","-","-","-","pseudogene"
"100130691","-","-","-","non-coding RNA"
"220729","-","-","-","pseudogene"
"283922","-","-","-","pseudogene"
"101926911","-","-","-","non-coding RNA"
"105371730","-","-","-","non-coding RNA"
"408186","-","-","-","protein-coding gene"
"101927588","-","-","-","non-coding RNA"
"105377213","-","-","-","non-coding RNA"
"107985075","-","-","-","non-coding RNA"
"153684","-","-","-","non-coding RNA"
"441666","-","-","-","pseudogene"
"652276","-","-","-","pseudogene"
"285696","-","-","-","non-coding RNA"
"399715","-","-","-","non-coding RNA"
"100506688","-","-","-","non-coding RNA"
"100506241","-","-","-","non-coding RNA"
"644669","-","-","-","pseudogene"
"440700","-","-","-","pseudogene"
"100129138","-","-","-","pseudogene"
"105378052","-","-","-","non-coding RNA"
"730101","-","-","-","non-coding RNA"
"100506302","-","-","-","non-coding RNA"
"285095","-","-","-","non-coding RNA"
"107985899","-","-","-","non-coding RNA"
"100288175","-","-","-","-"
"100130449","-","-","-","non-coding RNA"
"101928254","-","-","-","non-coding RNA"
"101928464","-","-","-","non-coding RNA"
"102723968","-","-","-","non-coding RNA"
"648691","-","-","-","non-coding RNA"
"101928881","-","-","-","non-coding RNA"
"105375614","-","-","-","non-coding RNA"
"101928111","-","-","-","non-coding RNA"
"101927604","-","-","-","non-coding RNA"
"100506100","-","-","-","non-coding RNA"
"102724719","-","-","-","non-coding RNA"
"102723883","-","-","-","non-coding RNA"
"100505716","-","-","-","non-coding RNA"
"646588","-","-","-","protein-coding gene"
"101928012","-","-","-","non-coding RNA"
"105373185","-","-","-","non-coding RNA"
"105373463","-","-","-","non-coding RNA"
"100130417","-","-","-","non-coding RNA"
"101927356","-","-","-","non-coding RNA"
"101928516","-","-","-","non-coding RNA"
"441307","-","-","-","non-coding RNA"
"101929452","-","-","-","non-coding RNA"
"105373878","-","-","-","non-coding RNA"
"101927027","-","-","-","non-coding RNA"
"399821","-","-","-","non-coding RNA"
"101927420","-","-","-","non-coding RNA"
"101929282","-","-","-","non-coding RNA"
"100129175","-","-","-","non-coding RNA"
"401127","-","-","-","pseudogene"
"102724373","-","-","-","non-coding RNA"
"284930","-","-","-","non-coding RNA"
"107985210","-","-","-","non-coding RNA"
"101927635","-","-","-","non-coding RNA"
"101927501","-","-","-","non-coding RNA"
"105378328","-","-","-","non-coding RNA"
"101929331","-","-","-","non-coding RNA"
"101929662","-","-","-","non-coding RNA"
"102724691","-","-","-","non-coding RNA"
"729467","-","-","-","non-coding RNA"
"101928887","-","-","-","non-coding RNA"
"102724153","-","-","-","non-coding RNA"
"101928298","-","-","-","non-coding RNA"
"100506840","-","-","-","pseudogene"
"101928782","-","-","-","non-coding RNA"
"148413","-","-","-","non-coding RNA"
"105371620","-","-","-","non-coding RNA"
"102723566","-","-","-","non-coding RNA"
"101927839","-","-","-","non-coding RNA"
"102724849","-","-","-","non-coding RNA"
"102723427","-","-","-","non-coding RNA"
"100294720","-","-","-","non-coding RNA"
"101928371","-","-","-","non-coding RNA"
"100240728","-","-","-","non-coding RNA"
"100506474","-","-","-","non-coding RNA"
"101927523","-","-","-","non-coding RNA"
"105375304","-","-","-","non-coding RNA"
"104798195","-","-","-","non-coding RNA"
"100631378","-","-","-","non-coding RNA"
"100506937","-","-","-","non-coding RNA"
"105373100","-","-","-","non-coding RNA"
"400696","-","-","-","pseudogene"
"101928118","-","-","-","non-coding RNA"
"101927769","-","-","-","non-coding RNA"
"105378933","-","-","-","non-coding RNA"
"100129215","-","-","-","non-coding RNA"
"100288778","-","-","-","pseudogene"
"105378044","-","-","-","non-coding RNA"
"101929541","-","-","-","non-coding RNA"
"101929073","-","-","-","non-coding RNA"
"105376072","-","-","-","non-coding RNA"
"105376490","-","-","-","non-coding RNA"
"101929523","-","-","-","non-coding RNA"
"101928627","-","-","-","non-coding RNA"
"101928280","-","-","-","non-coding RNA"
"101929551","-","-","-","non-coding RNA"
"101928107","-","-","-","non-coding RNA"
"101929574","-","-","-","non-coding RNA"
"105378385","-","-","-","non-coding RNA"
"102725191","-","-","-","non-coding RNA"
"101928525","-","-","-","non-coding RNA"
"100507657","-","-","-","non-coding RNA"
"101927196","-","-","-","non-coding RNA"
"100507564","-","-","-","non-coding RNA"
"100192379","-","-","-","non-coding RNA"
"100506682","-","-","-","non-coding RNA"
"100507600","-","-","-","non-coding RNA"
"339529","-","-","-","non-coding RNA"
"107985092","-","-","-","non-coding RNA"
"102724450","-","-","-","non-coding RNA"
"101928161","-","-","-","non-coding RNA"
"105375451","-","-","-","non-coding RNA"
"105378591","-","-","-","non-coding RNA"
"102724094","-","-","-","non-coding RNA"
"105375050","-","-","-","non-coding RNA"
"105376421","-","-","-","non-coding RNA"
"101928418","-","-","-","non-coding RNA"
"102724601","-","-","-","non-coding RNA"
"101927575","-","-","-","non-coding RNA"
"101927139","-","-","-","non-coding RNA"
"102724009","-","-","-","non-coding RNA"
"100506725","-","-","-","non-coding RNA"
"101930114","-","-","-","non-coding RNA"
"729867","-","-","-","non-coding RNA"
"101927358","-","-","-","non-coding RNA"
"101929626","-","-","-","non-coding RNA"
"441072","-","-","-","non-coding RNA"
"440600","-","-","-","non-coding RNA"
"283038","-","-","-","non-coding RNA"
"100996583","-","-","-","non-coding RNA"
"101927787","-","-","-","non-coding RNA"
"101929516","-","-","-","non-coding RNA"
"105371485","-","-","-","non-coding RNA"
"338963","-","-","-","pseudogene"
"101928733","-","-","-","non-coding RNA"
"286238","-","-","-","non-coding RNA"
"101929116","-","-","-","non-coding RNA"
"101928612","-","-","-","non-coding RNA"
"100506885","-","-","-","non-coding RNA"
"105378663","-","-","-","non-coding RNA"
"105374580","-","-","-","non-coding RNA"
"101927692","-","-","-","non-coding RNA"
"100506405","-","-","-","non-coding RNA"
"266917","-","-","-","non-coding RNA"
"105376527","-","-","-","non-coding RNA"
"101928565","-","-","-","non-coding RNA"
"101928775","-","-","-","non-coding RNA"
"100131635","-","-","-","non-coding RNA"
"102724502","-","-","-","non-coding RNA"
"100996635","-","-","-","non-coding RNA"
"100506790","-","-","-","non-coding RNA"
"101927159","-","-","-","non-coding RNA"
"101928739","-","-","-","non-coding RNA"
"493754","-","-","-","pseudogene"
"101929479","-","-","-","protein-coding gene"
"102723727","-","-","-","non-coding RNA"
"101928994","-","-","-","non-coding RNA"
"101928103","-","-","-","non-coding RNA"
"105375009","-","-","-","non-coding RNA"
"101927827","-","-","-","non-coding RNA"
"102031319","-","-","-","non-coding RNA"
"101927000","-","-","-","non-coding RNA"
"101927987","-","-","-","non-coding RNA"
"101927745","-","-","-","non-coding RNA"
"101929592","-","-","-","non-coding RNA"
"107986703","-","-","-","non-coding RNA"
"105373191","-","-","-","non-coding RNA"
"101927948","-","-","-","non-coding RNA"
"101928696","-","-","-","non-coding RNA"
"101927419","-","-","-","non-coding RNA"
"101928009","-","-","-","non-coding RNA"
"101929460","-","-","-","non-coding RNA"
"100506274","-","-","-","non-coding RNA"
"102724919","-","-","-","non-coding RNA"
"105378470","-","-","-","non-coding RNA"
"101927762","-","-","-","non-coding RNA"
"101929901","-","-","-","non-coding RNA"
"105373764","-","-","-","non-coding RNA"
"403150","-","-","-","non-coding RNA"
"100287704","-","-","-","non-coding RNA"
"101928626","-","-","-","non-coding RNA"
"284632","-","-","-","non-coding RNA"
"101929721","-","-","-","non-coding RNA"
"105375556","-","-","-","non-coding RNA"
"100133286","-","-","-","non-coding RNA"
"100506679","-","-","-","non-coding RNA"
"105376736","-","-","-","non-coding RNA"
"100505664","-","-","-","non-coding RNA"
"101928336","-","-","-","non-coding RNA"
"101927795","-","-","-","non-coding RNA"
"101927895","-","-","-","non-coding RNA"
"101928098","-","-","-","non-coding RNA"
"102724555","-","-","-","non-coding RNA"
"100507103","-","-","-","non-coding RNA"
"101929441","-","-","-","non-coding RNA"
"105376365","-","-","-","non-coding RNA"
"105375266","-","-","-","non-coding RNA"
"105376480","-","-","-","non-coding RNA"
"284798","-","-","-","non-coding RNA"
"339666","-","-","-","non-coding RNA"
"340512","-","-","-","non-coding RNA"
"101928307","-","-","-","non-coding RNA"
"105375972","-","-","-","non-coding RNA"
"101927686","-","-","-","non-coding RNA"
"154449","-","-","-","non-coding RNA"
"105370306","-","-","-","non-coding RNA"
"100506801","-","-","-","non-coding RNA"
"105373343","-","-","-","non-coding RNA"
"101927377","-","-","-","non-coding RNA"
"105378533","-","-","-","non-coding RNA"
"101927884","-","-","-","non-coding RNA"
"100093698","-","-","-","non-coding RNA"
"101926964","-","-","-","non-coding RNA"
"653712","-","-","-","pseudogene"
"728730","-","-","-","non-coding RNA"
"101929147","-","-","-","non-coding RNA"
"105376171","-","-","-","non-coding RNA"
"401585","-","-","-","non-coding RNA"
"100132215","-","-","-","non-coding RNA"
"101927596","-","-","-","non-coding RNA"
"105373524","-","-","-","non-coding RNA"
"101928489","-","-","-","non-coding RNA"
"101927765","-","-","-","non-coding RNA"
"101927136","-","-","-","non-coding RNA"
"343052","-","-","-","pseudogene"
"101927492","-","-","-","non-coding RNA"
"105373805","-","-","-","non-coding RNA"
"730100","-","-","-","non-coding RNA"
"101928380","-","-","-","non-coding RNA"
"102724323","-","-","-","non-coding RNA"
"101929231","-","-","-","non-coding RNA"
"101928014","-","-","-","non-coding RNA"
"400761","-","-","-","non-coding RNA"
"105372833","-","-","-","non-coding RNA"
"101928475","-","-","-","non-coding RNA"
"100132077","-","-","-","non-coding RNA"
"100505824","-","-","-","non-coding RNA"
"101928386","-","-","-","non-coding RNA"
"101928402","-","-","-","non-coding RNA"
"100289656","-","-","-","pseudogene"
"105378753","-","-","-","non-coding RNA"
"101929006","-","-","-","non-coding RNA"
"151484","-","-","-","non-coding RNA"
"100996732","-","-","-","non-coding RNA"
"100289473","-","-","-","pseudogene"
"101927257","-","-","-","non-coding RNA"
"101927143","-","-","-","non-coding RNA"
"105374328","-","-","-","non-coding RNA"
"100507670","-","-","-","non-coding RNA"
"101926943","-","-","-","non-coding RNA"
"100506178","-","-","-","non-coding RNA"
"100421746","-","-","-","pseudogene"
"105378499","-","-","-","non-coding RNA"
"400221","-","-","-","non-coding RNA"
"100129620","-","-","-","non-coding RNA"
"101928404","-","-","-","non-coding RNA"
"101929413","-","-","-","non-coding RNA"
"100506585","-","-","-","non-coding RNA"
"150786","-","-","-","protein-coding gene"
"100996842","-","-","-","protein-coding gene"
"101929464","-","-","-","non-coding RNA"
"105376116","-","-","-","non-coding RNA"
"101928401","-","-","-","non-coding RNA"
"105373354","-","-","-","non-coding RNA"
"101927051","-","-","-","non-coding RNA"
"101929297","-","-","-","non-coding RNA"
"200772","-","-","-","non-coding RNA"
"100130849","-","-","-","pseudogene"
"100128317","-","-","-","non-coding RNA"
"730338","-","-","-","non-coding RNA"
"101928797","-","-","-","non-coding RNA"
"105378853","-","-","-","non-coding RNA"
"102723833","-","-","-","non-coding RNA"
"105375342","-","-","-","non-coding RNA"
"100505795","-","-","-","non-coding RNA"
"339807","-","-","-","non-coding RNA"
"105376276","-","-","-","non-coding RNA"
"101928185","-","-","-","non-coding RNA"
"100506289","-","-","-","non-coding RNA"
"100506098","-","-","-","non-coding RNA"
"105378991","-","-","-","non-coding RNA"
"285889","-","-","-","non-coding RNA"
"101927502","-","-","-","non-coding RNA"
"101928834","-","-","-","non-coding RNA"
"101929526","-","-","-","non-coding RNA"
"101928403","-","-","-","non-coding RNA"
"105375297","-","-","-","non-coding RNA"
"101928820","-","-","-","non-coding RNA"
"105378311","-","-","-","non-coding RNA"
"101927914","-","-","-","non-coding RNA"
"729040","-","-","-","-"
"101928000","-","-","-","non-coding RNA"
"349160","-","-","-","non-coding RNA"
"100129484","-","-","-","-"
"102724357","-","-","-","non-coding RNA"
"101928036","-","-","-","non-coding RNA"
"101929420","-","-","-","non-coding RNA"
"101927907","-","-","-","non-coding RNA"
"101927043","-","-","-","non-coding RNA"
"100506175","-","-","-","non-coding RNA"
"105378687","-","-","-","non-coding RNA"
"105375401","-","-","-","non-coding RNA"
"101927870","-","-","-","non-coding RNA"
"105755953","-","-","-","non-coding RNA"
"400804","-","-","-","non-coding RNA"
"105378325","-","-","-","non-coding RNA"
"100507506","-","-","-","non-coding RNA"
"100505782","-","-","-","non-coding RNA"
"107984178","-","-","-","non-coding RNA"
"101929445","-","-","-","non-coding RNA"
"105373958","-","-","-","non-coding RNA"
"101927434","-","-","-","non-coding RNA"
"100507406","-","-","-","non-coding RNA"
"102724264","-","-","-","non-coding RNA"
"148709","-","-","-","pseudogene"
"100505635","-","-","-","non-coding RNA"
"101929148","-","-","-","non-coding RNA"
"100130548","-","-","-","non-coding RNA"
"101927378","-","-","-","non-coding RNA"
"100422737","-","-","-","non-coding RNA"
"105378614","-","-","-","non-coding RNA"
"105371807","-","-","-","non-coding RNA"
"105372672","-","-","-","non-coding RNA"
"105373496","-","-","-","non-coding RNA"
"729970","-","-","-","non-coding RNA"
"643733","-","-","-","pseudogene"
"100507557","-","-","-","non-coding RNA"
"644093","-","-","-","non-coding RNA"
"101928389","-","-","-","non-coding RNA"
"100507477","-","-","-","non-coding RNA"
"101927630","-","-","-","non-coding RNA"
"101928335","-","-","-","non-coding RNA"
"101929680","-","-","-","non-coding RNA"
"105373525","-","-","-","non-coding RNA"
"101929099","-","-","-","non-coding RNA"
"101928303","-","-","-","non-coding RNA"
"105373051","-","-","-","non-coding RNA"
"101928333","-","-","-","non-coding RNA"
"153910","-","-","-","non-coding RNA"
"101926942","-","-","-","non-coding RNA"
"101927476","-","-","-","non-coding RNA"
"654841","-","-","-","non-coding RNA"
"101928271","-","-","-","non-coding RNA"
"101928748","-","-","-","non-coding RNA"
"107987032","-","-","-","non-coding RNA"
"101928201","-","-","-","non-coding RNA"
"102723971","-","-","-","protein-coding gene"
"105378668","-","-","-","non-coding RNA"
"101928530","-","-","-","non-coding RNA"
"100505588","-","-","-","non-coding RNA"
"101927189","-","-","-","non-coding RNA"
"105378277","-","-","-","non-coding RNA"
"101928700","-","-","-","non-coding RNA"
"102724589","-","-","-","non-coding RNA"
"100134368","-","-","-","non-coding RNA"
"101929532","-","-","-","non-coding RNA"
"100996263","-","-","-","non-coding RNA"
"102725532","-","-","-","non-coding RNA"
"105371458","-","-","-","non-coding RNA"
"101927964","-","-","-","non-coding RNA"
"105375166","-","-","-","non-coding RNA"
"101927164","-","-","-","non-coding RNA"
"105376468","-","-","-","non-coding RNA"
"101928495","-","-","-","non-coding RNA"
"100130331","-","-","-","pseudogene"
"100129291","-","-","-","pseudogene"
"100289098","-","-","-","non-coding RNA"
"105374461","-","-","-","non-coding RNA"
"100129066","-","-","-","non-coding RNA"
"149047","-","-","-","non-coding RNA"
"101928932","-","-","-","non-coding RNA"
"102723661","-","-","-","non-coding RNA"
"101928438","-","-","-","non-coding RNA"
"400794","-","-","-","non-coding RNA"
"101928661","-","-","-","non-coding RNA"
"105373876","-","-","-","non-coding RNA"
"100130476","-","-","-","non-coding RNA"
"101929653","-","-","-","non-coding RNA"
"101929705","-","-","-","non-coding RNA"
"101928596","-","-","-","non-coding RNA"
"440934","-","-","-","non-coding RNA"
"101929570","-","-","-","non-coding RNA"
"101928283","-","-","-","non-coding RNA"
"101927497","-","-","-","non-coding RNA"
"100506271","-","-","-","non-coding RNA"
"101928358","-","-","-","non-coding RNA"
"102724434","-","-","-","non-coding RNA"
"105375014","-","-","-","non-coding RNA"
"101929011","-","-","-","non-coding RNA"
"105378137","-","-","-","non-coding RNA"
"101927851","-","-","-","non-coding RNA"
"401312","-","-","-","non-coding RNA"
"105376805","-","-","-","non-coding RNA"
"646938","-","-","-","pseudogene"
"100506384","-","-","-","non-coding RNA"
"100996251","-","-","-","non-coding RNA"
"100128164","-","-","-","pseudogene"
"105374002","-","-","-","non-coding RNA"
"105375115","-","-","-","non-coding RNA"
"101930094","-","-","-","non-coding RNA"
"100507537","-","-","-","non-coding RNA"
"100506489","-","-","-","non-coding RNA"
"653160","-","-","-","non-coding RNA"
"102724604","-","-","-","non-coding RNA"
"101927056","-","-","-","non-coding RNA"
"105375483","-","-","-","non-coding RNA"
"105374205","-","-","-","non-coding RNA"
"107986115","-","-","-","non-coding RNA"
"105371430","-","-","-","non-coding RNA"
"105370757","-","-","-","non-coding RNA"
"101929159","-","-","-","non-coding RNA"
"102546299","-","-","-","non-coding RNA"
"644090","-","-","-","-"
"105376382","-","-","-","non-coding RNA"
"730102","-","-","-","pseudogene"
"101928521","-","-","-","non-coding RNA"
"101927550","-","-","-","non-coding RNA"
"101926934","-","-","-","non-coding RNA"
"100996447","-","-","-","non-coding RNA"
"101929054","-","-","-","non-coding RNA"
"388813","-","-","-","protein-coding gene"
"388820","-","-","-","protein-coding gene"
"100507389","-","-","-","non-coding RNA"
"105374171","-","-","-","non-coding RNA"
"101559451","-","-","-","non-coding RNA"
"155060","-","-","-","pseudogene"
"101927657","-","-","-","non-coding RNA"
"101928445","-","-","-","non-coding RNA"
"101929538","-","-","-","non-coding RNA"
"107986927","-","-","-","non-coding RNA"
"105375650","-","-","-","non-coding RNA"
"101930370","-","-","-","non-coding RNA"
"101929066","-","-","-","non-coding RNA"
"101929595","-","-","-","non-coding RNA"
"100996419","-","-","-","non-coding RNA"
"256880","-","-","-","non-coding RNA"
"101928075","-","-","-","non-coding RNA"
"100507283","-","-","-","non-coding RNA"
"440028","-","-","-","non-coding RNA"
"101929295","-","-","-","non-coding RNA"
"101927204","-","-","-","non-coding RNA"
"101928100","-","-","-","non-coding RNA"
"101929076","-","-","-","non-coding RNA"
"100129931","-","-","-","non-coding RNA"
"100652791","-","-","-","non-coding RNA"
"400512","-","-","-","non-coding RNA"
"101928809","-","-","-","non-coding RNA"
"645513","-","-","-","pseudogene"
"101928725","-","-","-","non-coding RNA"
"100287015","-","-","-","non-coding RNA"
"100507053","-","-","-","non-coding RNA"
"286059","-","-","-","pseudogene"
"101929524","-","-","-","non-coding RNA"
"101928053","-","-","-","non-coding RNA"
"645485","-","-","-","non-coding RNA"
"105369192","-","-","-","non-coding RNA"
"283856","-","-","-","non-coding RNA"
"101928597","-","-","-","non-coding RNA"
"100505658","-","-","-","non-coding RNA"
"100506368","-","-","-","non-coding RNA"
"101929759","-","-","-","non-coding RNA"
"101929210","-","-","-","non-coding RNA"
"105377348","-","-","-","non-coding RNA"
"389641","-","-","-","non-coding RNA"
"284080","-","-","-","non-coding RNA"
"85001","-","-","-","non-coding RNA"
"106699570","-","-","-","non-coding RNA"
